song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,audio_valence
The Pretender,11,269373,0.000917,0.433,0.959,0.0,0.0279999999999999,-4.04,0.0431,172.984,0.365
Savior,73,242280,0.00164,0.5489999999999999,0.93,6.670000000000001e-05,0.39,-3.468,0.0487,112.447,0.526
Bodies,74,201960,0.00347,0.6559999999999999,0.932,0.00147,0.144,-3.405,0.0708,130.936,0.544
"Sugar, We're Goin Down",79,229093,0.00898,0.499,0.8240000000000001,0.0,0.163,-4.7410000000000005,0.0794,161.977,0.6990000000000001
Last Nite,70,193373,0.0223,0.624,0.899,0.000155,0.0975,-5.71,0.0295,104.055,0.797
Through Glass,60,282946,0.0417,0.545,0.753,0.0,0.389,-4.618,0.036,105.754,0.434
The Diary of Jane - Single Version,69,200546,5.53e-05,0.374,0.961,0.0834,0.138,-4.421,0.0851,167.032,0.357
Down With the Sickness,73,279213,0.000996,0.695,0.8759999999999999,6.89e-06,0.106,-4.262,0.0553,89.954,0.941
Wish You Were Here,62,212733,0.0006309999999999,0.246,0.768,0.301,0.102,-7.48,0.0387,169.873,0.35
Youth Of The Nation,72,256240,0.00834,0.563,0.86,0.0106,0.39,-7.532999999999999,0.0621,97.867,0.517
Vertigo,57,194520,0.000153,0.391,0.831,0.0019199999999999,0.141,-3.892,0.0613,139.946,0.6829999999999999
Miss Murder,71,206586,0.000213,0.309,0.875,0.00168,0.113,-4.49,0.0488,143.526,0.725
I Bet You Look Good On The Dancefloor,63,173680,0.00225,0.535,0.948,0.0,0.376,-4.19,0.0356,103.183,0.778
"Steady, As She Goes",64,215266,0.0132,0.524,0.578,0.00921,0.108,-4.563,0.12,123.669,0.537
Falling Away from Me,71,270920,0.00014,0.4679999999999999,0.769,0.00124,0.271,-7.0360000000000005,0.0409999999999999,104.102,0.17
Crawling In The Dark,61,175026,0.000295,0.5920000000000001,0.932,7.59e-05,0.138,-4.4910000000000005,0.0885,93.675,0.698
I Stand Alone,67,246040,4.78e-05,0.213,0.93,0.0,0.126,-4.478,0.0671,169.22099999999998,0.386
Woman,63,176306,5.1e-05,0.2189999999999999,0.952,0.0989,0.157,-3.621,0.176,112.886,0.172
Show Me How to Live,72,277840,0.000336,0.433,0.8540000000000001,0.000177,0.162,-3.868,0.0483,89.4,0.368
The Red,71,238400,0.000671,0.509,0.843,0.0008029999999999,0.348,-3.318,0.0488,140.055,0.332
Remedy,70,207213,0.00018,0.546,0.959,0.00144,0.0584,-4.664,0.0819999999999999,127.831,0.416
Plug In Baby,65,218000,6.94e-06,0.408,0.965,0.0004019999999999,0.11,-4.232,0.05,136.018,0.349
Change (In the House of Flies) - In The House Of Flies LP Version,69,299533,0.000249,0.2689999999999999,0.853,0.000246,0.118,-4.647,0.0854,141.58100000000002,0.179
Judith,66,247266,3.32e-05,0.365,0.894,0.171,0.267,-4.682,0.0572,82.305,0.31
MIA (feat. Drake),94,210367,0.0143,0.818,0.54,0.000512,0.099,-6.35,0.0544,97.064,0.174
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",98,212500,0.153,0.841,0.7979999999999999,3.33e-06,0.0618,-4.206,0.2289999999999999,95.948,0.591
White Boi,59,185282,0.0983,0.83,0.497,0.0,0.0906,-6.94,0.052,127.965,0.634
Just Wanna Love You (feat. J. Balvin),73,199230,0.0557,0.687,0.7659999999999999,0.00107,0.146,-6.08,0.054,94.973,0.303
Beautiful (feat. Camila Cabello),94,180000,0.346,0.638,0.7170000000000001,0.0,0.105,-4.722,0.0337,100.027,0.249
Celoso,87,179693,0.352,0.746,0.703,0.0,0.331,-4.178999999999999,0.107,166.043,0.667
Good Vibes,73,235720,0.0348,0.823,0.63,6.72e-06,0.0964,-3.932,0.0797,100.04,0.184
Real Friends,85,223583,0.235,0.701,0.512,5.07e-06,0.135,-6.869,0.0969,91.947,0.6629999999999999
Pa La Calle,61,243487,0.1169999999999999,0.695,0.884,0.0,0.104,-6.279,0.131,74.992,0.8540000000000001
Pa Mí,58,210865,0.716,0.722,0.584,0.000321,0.115,-8.467,0.318,169.97799999999998,0.6459999999999999
Wake Up in the Sky,92,204664,0.00381,0.8,0.578,0.0,0.359,-5.144,0.0485,143.01,0.367
Está Rico,83,215151,0.266,0.8170000000000001,0.74,0.0,0.0992,-4.566,0.283,130.04,0.674
Banana Clip - Spanish Version,57,202373,0.107,0.3979999999999999,0.66,0.0,0.121,-5.626,0.12,83.82799999999999,0.7190000000000001
YAKWTFGO (feat. Kali Uchis),44,162733,0.00397,0.812,0.748,0.0,0.174,-5.959,0.139,132.035,0.158
Come With Me,47,157461,0.0526,0.659,0.7340000000000001,2.48e-06,0.242,-4.008,0.046,161.971,0.346
Como Si Na,54,170997,0.2319999999999999,0.705,0.778,0.0,0.244,-4.101,0.177,160.099,0.7090000000000001
Blah,47,188440,0.0255,0.723,0.687,0.000207,0.124,-4.632,0.2,173.747,0.777
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),64,253714,0.0257,0.928,0.402,0.0,0.0804,-7.569,0.451,139.998,0.62
Mi Infinita,56,272000,0.902,0.465,0.675,0.267,0.11,-7.555,0.0485,119.941,0.129
Coqueta,49,174000,0.5710000000000001,0.632,0.652,0.85,0.1939999999999999,-10.558,0.0302,115.031,0.594
Sola,65,209573,0.921,0.471,0.179,0.0,0.1009999999999999,-10.273,0.089,174.273,0.1939999999999999
Nuestro Planeta (feat. Reykon),52,202754,0.0857,0.871,0.545,0.000499,0.0756,-6.466,0.0625,96.035,0.415
Hijo de Su Madre,61,178009,0.0646,0.8290000000000001,0.606,0.391,0.281,-7.093,0.149,118.051,0.732
Lento,65,169251,0.149,0.8370000000000001,0.649,7.63e-05,0.103,-5.26,0.192,164.002,0.948
Dicen,77,220826,0.1369999999999999,0.8170000000000001,0.635,7.85e-06,0.245,-5.718999999999999,0.138,103.029,0.777
BEBE,95,217822,0.172,0.635,0.902,0.0,0.125,-3.559,0.109,102.063,0.286
I Like It,95,253390,0.099,0.816,0.726,0.0,0.372,-3.998,0.129,136.048,0.65
Zooted (feat. French Montana & Farruko),74,217652,0.267,0.815,0.626,1.31e-05,0.275,-5.138999999999999,0.103,109.989,0.5710000000000001
Havana - Remix,77,199095,0.3979999999999999,0.7509999999999999,0.579,2.28e-05,0.133,-4.0360000000000005,0.0321,105.031,0.349
Pum Pum,45,185743,0.0749,0.736,0.906,0.000123,0.12,-1.49,0.0566,93.013,0.611
Quiero Saber,52,166253,0.00245,0.695,0.818,3.36e-06,0.305,-5.532,0.0482,102.976,0.599
Como,38,234373,0.00323,0.5429999999999999,0.847,0.0,0.0551,-3.574,0.0659,92.046,0.65
Anywhere Contigo,46,193846,0.271,0.841,0.841,2.6e-05,0.108,-4.288,0.0633,104.01,0.823
No Gratis,44,208800,0.425,0.777,0.546,0.0,0.0809,-9.504,0.207,147.173,0.952
Díganle - Tainy Remix,75,211437,0.102,0.84,0.789,0.0,0.309,-4.695,0.0949,92.018,0.619
Sangria Wine,75,202853,0.181,0.831,0.713,0.0,0.0572,-3.646,0.094,132.109,0.69
All Day,45,198386,0.0797,0.825,0.481,0.0,0.239,-8.6,0.0396,121.046,0.7609999999999999
Just As I Am,53,224413,0.235,0.682,0.7509999999999999,0.0,0.11,-5.812,0.0675,129.937,0.708
Nice & Slow,38,218448,0.00694,0.799,0.616,0.00237,0.283,-4.599,0.0415,127.023,0.6970000000000001
Scooby Doo Pa Pa (Remix),60,176702,0.196,0.921,0.965,0.0002009999999999,0.3229999999999999,-1.396,0.178,120.902,0.507
Don't Werk,39,133120,0.108,0.703,0.617,5.610000000000001e-05,0.271,-8.732000000000001,0.0731,123.159,0.435
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",88,201526,0.165,0.792,0.895,0.0,0.0501,-3.112,0.0589,94.968,0.794
Pa Mi (with Ozuna),77,216689,0.0983,0.596,0.557,0.0,0.0565,-7.522,0.134,133.247,0.6609999999999999
Lo Siento,68,226183,0.0705,0.746,0.738,0.0,0.043,-3.67,0.207,94.808,0.63
Nuestra Cancion Pt. 2 (feat. Arcángel),46,215003,0.0079,0.493,0.825,0.0,0.129,-4.056,0.0798,99.866,0.621
La Hora Loca,44,175239,0.0429,0.836,0.725,0.0,0.108,-5.445,0.0571,126.035,0.76
Dinero - English Version,37,161093,0.00436,0.701,0.779,0.0,0.121,-4.657,0.0647,119.974,0.451
Pum Pum (feat. Kap G & Play-N-Skillz),53,182224,0.149,0.871,0.563,0.0,0.0568,-8.329,0.0795,91.998,0.62
Hora Loca,65,215421,0.0507,0.65,0.8009999999999999,0.0,0.0645,-5.407,0.0723,166.16,0.74
Better With You,68,196018,0.265,0.784,0.437,6.979999999999999e-05,0.126,-7.867999999999999,0.0509,90.00299999999999,0.47
NIGHTS LIKE THESE,59,204453,0.133,0.494,0.7290000000000001,0.0,0.143,-4.934,0.161,78.833,0.421
Alright,43,229038,0.0199,0.561,0.58,0.0,0.0619,-5.612,0.0414,84.98,0.294
Insecure,53,191906,0.369,0.483,0.685,0.0,0.0817,-3.232,0.174,185.502,0.546
Si Una Vez - (If I Once)[Spanglish Version],54,237860,0.0762,0.62,0.823,3.13e-05,0.1119999999999999,-2.436,0.0567,175.921,0.4039999999999999
Finesse (Remix) [feat. Cardi B],84,217288,0.0185,0.7040000000000001,0.8590000000000001,0.0,0.0215,-4.877,0.0996,105.115,0.926
Belong To U,44,202574,0.586,0.633,0.765,6.890000000000001e-05,0.0966,-5.732,0.0474,100.934,0.489
Sunny Daze,40,167823,0.569,0.853,0.7140000000000001,0.0101,0.0716,-6.1770000000000005,0.0767,92.375,0.836
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",41,241135,0.0652,0.8,0.8370000000000001,4.52e-05,0.0699,-4.488,0.099,105.026,0.813
Island,37,194011,0.118,0.743,0.7929999999999999,6.07e-05,0.2269999999999999,-5.032,0.0546,109.921,0.434
Crazy In Love,79,236133,0.00249,0.6459999999999999,0.77,0.0,0.0715,-6.596,0.226,99.165,0.6809999999999999
Rock Your Body,74,267266,0.2019999999999999,0.8909999999999999,0.7140000000000001,0.000234,0.0521,-6.055,0.14,100.972,0.818
Beautiful Girls,10,241933,0.159,0.745,0.6659999999999999,0.0,0.302,-5.899,0.0566,129.995,0.708
Toxic,60,198813,0.0279,0.774,0.847,0.0183,0.241,-3.925,0.121,143.011,0.923
Michael Jackson x Mark Ronson: Diamonds are Invincible,70,300026,0.342,0.672,0.8320000000000001,0.000428,0.242,-2.388,0.342,117.298,0.5489999999999999
Yeah!,79,250373,0.0183,0.894,0.7909999999999999,0.0,0.0388,-4.699,0.1119999999999999,105.018,0.583
Live Your Life (feat. Rihanna),76,338853,0.071,0.375,0.862,0.0,0.211,-3.363,0.255,159.841,0.478
Hips Don't Lie,84,218093,0.284,0.778,0.8240000000000001,0.0,0.405,-5.892,0.0712,100.024,0.7559999999999999
"Hey, Soul Sister",77,216666,0.217,0.675,0.885,0.0,0.086,-4.432,0.0436,97.03,0.768
Pumped Up Kicks,84,239600,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,127.975,0.965
Love Never Felt so Good,74,246026,0.132,0.775,0.7190000000000001,1.79e-06,0.0662,-6.212000000000001,0.0435,117.513,0.7120000000000001
Hall of Fame,73,202533,0.0653,0.421,0.873,0.0,0.123,-4.343,0.0565,84.803,0.63
All of Me,85,269560,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,0.331
Drops of Jupiter,78,259933,0.154,0.4679999999999999,0.64,0.0,0.154,-5.862,0.0275,79.297,0.499
We Can't Stop,78,231240,0.00882,0.613,0.622,0.0,0.37,-5.794,0.0334,80.003,0.484
Fighter,69,245960,0.235,0.435,0.92,0.0003529999999999,0.552,-1.357,0.201,188.899,0.45
Since U Been Gone,75,188960,0.00165,0.662,0.741,0.0303,0.114,-5.406000000000001,0.0334,131.0,0.4039999999999999
Hey Ya! - Radio Mix / Club Mix,76,235213,0.103,0.728,0.974,0.000532,0.175,-2.261,0.0665,79.52600000000001,0.965
TiK ToK,71,199693,0.0746,0.755,0.8320000000000001,1.27e-06,0.291,-2.741,0.1159999999999999,120.032,0.735
Look At Me Now,71,223933,0.0439,0.764,0.6940000000000001,3.67e-06,0.18,-5.745,0.1889999999999999,146.075,0.581
SexyBack,77,242733,0.0584,0.967,0.583,0.0,0.0519,-5.562,0.0789,117.0,0.964
With You,69,252160,0.143,0.659,0.696,0.0,0.13,-4.291,0.071,86.001,0.665
Breakeven,76,261426,0.173,0.63,0.698,0.0,0.0789,-4.51,0.0244,94.023,0.529
I Know You Want Me (Calle Ocho),65,237120,0.0142,0.8240000000000001,0.743,2.12e-05,0.237,-5.995,0.141,127.046,0.804
Bye Bye Bye,73,200400,0.031,0.61,0.926,0.0012,0.0821,-4.843,0.0479,172.638,0.861
Complicated,77,244506,0.0572,0.585,0.7759999999999999,7.74e-06,0.3,-5.898,0.0459,77.987,0.427
Let Me Love You,80,256733,0.235,0.6559999999999999,0.578,0.0,0.118,-8.97,0.0922,94.514,0.556
Beautiful,73,238560,0.578,0.457,0.573,3.05e-06,0.114,-3.866,0.0275,76.193,0.0992
Raise Your Glass,54,203306,0.00611,0.701,0.7,0.0,0.0295,-4.934,0.0876,122.035,0.625
Timber,75,204160,0.0295,0.581,0.963,0.0,0.139,-4.087,0.0981,129.99200000000002,0.7879999999999999
What Makes You Beautiful,69,198053,0.00761,0.7290000000000001,0.7709999999999999,0.0,0.087,-2.451,0.0725,125.011,0.873
No One,79,253813,0.03,0.649,0.552,6.47e-06,0.111,-5.419,0.0292,89.969,0.158
Sk8er Boi,67,204000,6.790000000000001e-05,0.487,0.9,0.0,0.358,-4.417,0.0482,149.937,0.484
Womanizer,76,224400,0.073,0.7240000000000001,0.695,0.0,0.0889,-5.226,0.0622,139.0,0.235
Give Me Everything,75,252306,0.192,0.6709999999999999,0.939,0.0,0.298,-3.2060000000000004,0.161,129.023,0.529
Single Ladies (Put a Ring on It),72,193213,0.0383,0.426,0.584,0.0,0.188,-5.292999999999999,0.296,193.437,0.272
Bleeding Love,81,262466,0.188,0.638,0.6559999999999999,0.0,0.146,-5.886,0.0357,104.036,0.225
Lose My Breath,63,242013,0.00727,0.8140000000000001,0.899,0.2189999999999999,0.0979,-5.957999999999999,0.0637,119.011,0.545
Love Song,77,258826,0.0208,0.583,0.7859999999999999,0.0,0.188,-3.142,0.0301,123.052,0.573
Ms. Jackson,78,270506,0.142,0.843,0.805,0.0,0.0771,-5.946000000000001,0.2689999999999999,94.946,0.615
Die Young,72,211920,0.00498,0.711,0.7,0.000125,0.215,-4.805,0.046,128.001,0.8009999999999999
Survivor,62,254040,0.0533,0.524,0.904,0.0,0.7759999999999999,-2.071,0.3979999999999999,161.188,0.655
Oops!...I Did It Again,77,211160,0.3,0.7509999999999999,0.8340000000000001,1.77e-05,0.355,-5.444,0.0437,95.053,0.894
Cry Me a River,77,288333,0.575,0.624,0.653,0.0,0.104,-6.582000000000001,0.176,73.884,0.565
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77,248413,0.0426,0.794,0.8109999999999999,1.07e-06,0.1009999999999999,-8.966000000000001,0.038,116.047,0.862
Whatever You Like,75,249533,0.0161,0.68,0.687,0.0,0.261,-6.162000000000001,0.0709,150.053,0.467
"One, Two Step",78,203786,0.042,0.944,0.511,0.00107,0.0379,-10.96,0.161,113.046,0.8420000000000001
Unwritten,77,259333,0.00577,0.706,0.8009999999999999,0.0,0.0822,-6.332999999999999,0.0399,100.013,0.63
Wrecking Ball,74,221360,0.407,0.53,0.422,0.0,0.107,-6.2620000000000005,0.0342,119.964,0.349
So What,65,215160,0.000304,0.535,0.8859999999999999,2.26e-06,0.257,-3.1060000000000003,0.045,126.012,0.445
"Whenever, Wherever",76,196160,0.236,0.7929999999999999,0.8320000000000001,1.12e-05,0.2019999999999999,-4.862,0.0406,107.661,0.872
Baby Boy,69,244826,0.0825,0.655,0.488,1.16e-06,0.221,-9.17,0.22,91.025,0.7909999999999999
It's Gonna Be Me,67,192426,0.0407,0.636,0.873,1.27e-06,0.0372,-4.672,0.071,165.071,0.908
My Boo,77,223440,0.257,0.662,0.507,0.0,0.0465,-8.238,0.118,86.412,0.6759999999999999
Sex on Fire,81,203346,0.00172,0.542,0.905,0.0104,0.136,-5.653,0.054,153.398,0.374
Stronger (What Doesn't Kill You),52,221920,0.0411,0.555,0.923,0.0,0.1119999999999999,-5.908,0.0482,116.012,0.682
Over My Head (Cable Car),60,236373,0.0204,0.591,0.6990000000000001,0.0,0.0614,-5.221,0.0449,116.029,0.733
For the First Time,65,252853,0.0328,0.396,0.629,0.0,0.183,-4.78,0.0287,173.794,0.358
Girlfriend,69,216600,0.0007379999999999,0.56,0.959,0.000206,0.209,-2.4330000000000003,0.102,163.983,0.67
Fallin',76,210200,0.263,0.653,0.609,0.00101,0.233,-7.519,0.037,95.982,0.482
Use Somebody,79,230760,0.00552,0.276,0.715,0.000417,0.201,-5.356,0.0432,137.028,0.173
How to Save a Life,83,262533,0.2689999999999999,0.64,0.743,0.0,0.1009999999999999,-4.08,0.0379,122.035,0.361
Not Over You,69,218520,0.255,0.63,0.894,0.0,0.181,-4.592,0.0544,142.05100000000002,0.364
Before He Cheats,73,199946,0.271,0.519,0.7490000000000001,0.0,0.119,-3.318,0.0405,147.905,0.29
Dirrty (feat. Redman),72,298853,0.107,0.64,0.889,0.0,0.3389999999999999,-3.073,0.322,99.931,0.436
Caught Up,31,224946,0.0251,0.815,0.8079999999999999,5.37e-06,0.12,-4.614,0.0511,110.063,0.746
If I Ain't Got You,81,228706,0.603,0.609,0.445,6.77e-06,0.104,-9.129,0.106,118.393,0.166
Wherever You Will Go,67,209360,0.0392,0.551,0.696,0.0,0.127,-6.192,0.0265,112.024,0.354
You Found Me,76,241853,0.0187,0.3379999999999999,0.8029999999999999,0.0,0.136,-5.412000000000001,0.0413,151.994,0.4
"Independent Women, Pt. 1",63,221626,0.3879999999999999,0.517,0.598,2.22e-06,0.183,-3.751,0.263,96.933,0.922
Because of You,75,219493,0.254,0.583,0.584,0.0,0.123,-5.362,0.0314,140.039,0.136
Get The Party Started,67,191666,0.0012699999999999,0.8059999999999999,0.902,0.0,0.212,-3.387,0.0475,128.94299999999998,0.961
The Anthem,73,175093,0.0066599999999999,0.494,0.939,0.0,0.139,-3.127,0.126,177.75099999999998,0.893
I Don't Want to Be,63,217760,0.0079099999999999,0.423,0.862,0.0,0.133,-5.13,0.0695,154.746,0.462
The Way You Move (feat. Sleepy Brown) - Club Mix,68,234000,0.126,0.871,0.597,0.0001149999999999,0.0638,-4.932,0.0464,125.999,0.635
Better in Time,73,234173,0.512,0.584,0.7,2.43e-05,0.13,-4.251,0.0506,163.953,0.5489999999999999
Over You,64,204853,0.017,0.423,0.922,0.0,0.102,-2.602,0.0411,156.063,0.5670000000000001
The Great Escape,67,206520,0.00166,0.423,0.94,0.0,0.178,-4.012,0.0635,149.934,0.505
Your Body Is a Wonderland,78,249626,0.0206,0.647,0.7290000000000001,0.0489,0.134,-6.251,0.0236,94.01,0.687
Superman (It's Not Easy),48,222000,0.327,0.521,0.431,0.0,0.0986,-9.74,0.0293,106.546,0.181
Vivir Mi Vida,68,251160,0.324,0.65,0.879,0.0,0.376,-3.176,0.0328,105.015,0.899
La Vida Es Un Carnaval,24,275253,0.439,0.82,0.7170000000000001,0.00107,0.236,-6.191,0.0722,104.005,0.843
Lambada - Original Version 1989,67,207466,0.211,0.7559999999999999,0.8,0.000723,0.047,-5.158,0.0329,118.921,0.967
La Camisa Negra,29,216706,0.0838,0.7509999999999999,0.731,0.0,0.0556,-4.419,0.0308,97.007,0.973
La Gota Fría,66,215493,0.0893,0.7190000000000001,0.809,0.0,0.183,-10.201,0.0511,100.839,0.964
Suavemente,63,267000,0.254,0.8109999999999999,0.88,0.00146,0.0475,-2.972,0.0628,124.12,0.915
Bailando - Spanish Version,71,243413,0.0426,0.723,0.777,3.68e-06,0.0451,-3.503,0.108,91.017,0.961
Danza Kuduro,71,198786,0.078,0.6990000000000001,0.917,0.0,0.065,-4.897,0.115,130.04,0.889
Conga,59,252933,0.141,0.782,0.8740000000000001,0.0584,0.1119999999999999,-7.157,0.0474,123.179,0.8590000000000001
La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,66,232880,0.622,0.585,0.977,0.0,0.3279999999999999,-3.57,0.0615,138.264,0.8009999999999999
Guantanamera,58,199316,0.833,0.7440000000000001,0.601,0.0242,0.131,-5.2410000000000005,0.0349,143.542,0.905
El Matador,11,277600,0.0306,0.5660000000000001,0.911,0.0247,0.0574,-9.458,0.0791,193.538,0.638
Amor Prohibido,61,164120,0.455,0.5479999999999999,0.688,0.0,0.072,-6.053,0.0372,179.842,0.813
Hips Don't Lie,84,218093,0.284,0.778,0.8240000000000001,0.0,0.405,-5.892,0.0712,100.024,0.7559999999999999
Mi Gente,77,189440,0.0179,0.774,0.687,1.17e-05,0.128,-4.8180000000000005,0.0584,104.959,0.308
Obsesion,74,254720,0.419,0.8029999999999999,0.56,0.0,0.0608,-6.912000000000001,0.0398,133.679,0.77
Let's Get Loud,70,239400,0.135,0.82,0.937,0.000128,0.35,-4.81,0.0551,130.993,0.906
Oye Como Va,56,272546,0.743,0.696,0.728,0.0537,0.0835,-6.937,0.034,124.092,0.963
Despacito (Featuring Daddy Yankee),80,228200,0.208,0.659,0.802,0.0,0.123,-4.79,0.148,177.93599999999998,0.863
Bamboleo,54,203173,0.414,0.6709999999999999,0.884,0.00015,0.0701,-9.267,0.0586,119.574,0.933
Pedro Navaja,60,443480,0.779,0.5820000000000001,0.61,6.54e-06,0.267,-6.641,0.103,93.658,0.826
Gasolina,77,192600,0.332,0.857,0.8009999999999999,1.2e-06,0.0789,-6.499,0.0618,96.009,0.753
Mambo No 5,52,162213,0.337,0.816,0.416,0.7909999999999999,0.0452,-17.795,0.244,90.148,0.8170000000000001
De Música Ligera,51,212893,0.00487,0.542,0.7140000000000001,0.298,0.3339999999999999,-8.045,0.0279999999999999,124.26,0.76
Macarena,62,249506,0.422,0.927,0.721,4.36e-05,0.0422,-12.561,0.0908,103.018,0.965
La Bamba,57,172733,0.0699,0.348,0.7509999999999999,0.0007379999999999,0.208,-12.823,0.0494,156.509,0.8859999999999999
Querida,4,319560,0.318,0.522,0.526,0.0,0.1159999999999999,-6.361000000000001,0.0259,90.02,0.43
Maria Maria - Radio Mix,56,262160,0.0485,0.779,0.631,0.00316,0.0349,-5.314,0.115,97.927,0.6629999999999999
La ingrata,65,212000,0.0854,0.748,0.835,1.97e-06,0.0365,-5.731,0.0351,142.942,0.8959999999999999
Corazón partio,74,343413,0.1989999999999999,0.648,0.846,4.23e-06,0.0803,-6.731,0.0424,160.075,0.815
I Know You Want Me (Calle Ocho),7,238680,0.0151,0.815,0.757,5.260000000000001e-05,0.187,-5.351,0.165,127.052,0.8109999999999999
Livin' la Vida Loca,73,243160,0.00411,0.425,0.954,0.0,0.0555,-3.756,0.0476,178.043,0.933
Rebelión,43,378373,0.1119999999999999,0.5589999999999999,0.73,0.00267,0.263,-8.461,0.0639,106.806,0.778
La Maza,58,351400,0.652,0.555,0.331,1.16e-05,0.235,-17.718,0.27,170.60299999999998,0.437
Amor Eterno,59,408440,0.445,0.301,0.335,0.00181,0.7509999999999999,-8.564,0.0303,176.59099999999998,0.386
Besame Mucho,7,181960,0.701,0.7070000000000001,0.408,0.0,0.105,-12.776,0.0366,126.399,0.843
